-3	0	1	-1.5	-7.794
-4	0	1	0	-10.392
-4	-1	1	-3	-10.392
-3	-1	1	-4.5	-7.794
-2	-1	1	-3	-5.196
-2	0	1	-0	-5.196
-3	1	1	1.5	-7.795
-1	-2	1	-7.5	-2.598
-2	-2	1	-6	-5.196
-2	-3	1	-9	-5.196
-1	-3	1	-10.5	-2.598
0	-3	1	-9	0
0	-2	1	-6	0
-1	-1	1	-4.5	-2.598
2	-2	1	-6	5.196
1	-1	1	-4.5	2.599
1	-2	1	-7.5	2.598
2	-3	1	-9	5.196
3	-2	1	-7.5	7.794
3	-1	1	-4.5	7.794
2	-1	1	-3	5.196
0	0	1	0	0
-1	1	1	1.5	-2.598
-1	0	1	-1.5	-2.598
0	-1	1	-3	-0
1	0	1	-1.5	2.598
1	1	1	1.5	2.598
0	1	1	3	0
3	1	2	1.5	7.794
2	1	2	3	5.196
2	0	2	0	5.196
3	0	2	-1.5	7.795
4	0	2	-0	10.392
4	1	2	3	10.392
3	2	2	4.5	7.794
5	-1	2	-4.5	12.99
4	-1	2	-3	10.392
4	-2	2	-6	10.392
5	-2	2	-7.5	12.991
6	-2	2	-6	15.589
6	-1	2	-3	15.588
5	0	2	-1.5	12.99
8	-1	2	-3	20.785
7	0	2	-1.5	18.186
7	-1	2	-4.5	18.187
8	-2	2	-6	20.785
9	-1	2	-4.5	23.382
9	0	2	-1.5	23.383
8	0	2	-0	20.785
6	1	2	3	15.589
5	2	2	4.5	12.991
5	1	2	1.5	12.99
6	0	2	0	15.589
7	1	2	1.5	18.186
7	2	2	4.5	18.186
6	2	2	6	15.589
2	5	3	15	5.196
1	6	3	16.5	2.598
1	5	3	13.5	2.598
2	4	3	12	5.196
3	5	3	13.5	7.794
3	6	3	16.5	7.794
2	6	3	18	5.197
4	3	3	9	10.393
3	4	3	10.5	7.795
3	3	3	7.5	7.794
4	2	3	6	10.392
5	3	3	7.5	12.99
5	4	3	10.5	12.99
4	4	3	12	10.393
7	4	3	10.5	18.186
6	4	3	12	15.589
6	3	3	9	15.588
7	3	3	7.5	18.187
8	3	3	9	20.785
8	4	3	12	20.784
7	5	3	13.5	18.187
5	6	3	16.5	12.99
4	6	3	18	10.392
4	5	3	15	10.392
5	5	3	13.5	12.99
6	5	3	15	15.589
6	6	3	18	15.588
5	7	3	19.5	12.99
-4	4	4	12	-10.392
-5	5	4	13.5	-12.99
-5	4	4	10.5	-12.991
-4	3	4	9	-10.392
-3	4	4	10.5	-7.795
-3	5	4	13.5	-7.795
-4	5	4	15	-10.392
-2	2	4	6	-5.196
-3	3	4	7.5	-7.794
-3	2	4	4.5	-7.794
-2	1	4	3	-5.196
-1	2	4	4.5	-2.599
-1	3	4	7.5	-2.598
-2	3	4	9	-5.196
1	3	4	7.5	2.598
0	3	4	9	-0
0	2	4	6	-0
1	2	4	4.5	2.598
2	2	4	6	5.196
2	3	4	9	5.196
1	4	4	10.5	2.598
-1	5	4	13.5	-2.597
-2	5	4	15	-5.196
-2	4	4	12	-5.197
-1	4	4	10.5	-2.598
0	4	4	12	-0
0	5	4	15	0
-1	6	4	16.5	-2.598
-10	3	5	9	-25.981
-11	4	5	10.5	-28.578
-11	3	5	7.5	-28.579
-10	2	5	6	-25.98
-9	3	5	7.5	-23.382
-9	4	5	10.5	-23.383
-10	4	5	12	-25.981
-8	1	5	3	-20.785
-9	2	5	4.5	-23.382
-9	1	5	1.5	-23.383
-8	0	5	0	-20.785
-7	1	5	1.5	-18.186
-7	2	5	4.5	-18.187
-8	2	5	6	-20.785
-5	2	5	4.5	-12.99
-6	2	5	6	-15.589
-6	1	5	3	-15.588
-5	1	5	1.5	-12.99
-4	1	5	3	-10.392
-4	2	5	6	-10.392
-5	3	5	7.5	-12.991
-7	4	5	10.5	-18.186
-8	4	5	12	-20.785
-8	3	5	9	-20.784
-7	3	5	7.5	-18.186
-6	3	5	9	-15.588
-6	4	5	12	-15.588
-7	5	5	13.5	-18.187
-9	-1	6	-4.5	-23.383
-10	-1	6	-3	-25.981
-10	-2	6	-6	-25.98
-9	-2	6	-7.5	-23.383
-8	-2	6	-6	-20.785
-8	-1	6	-3	-20.784
-9	0	6	-1.5	-23.383
-7	-3	6	-10.5	-18.186
-8	-3	6	-9	-20.785
-8	-4	6	-12	-20.784
-7	-4	6	-13.5	-18.187
-6	-4	6	-12	-15.589
-6	-3	6	-9	-15.588
-7	-2	6	-7.5	-18.187
-4	-3	6	-9	-10.393
-5	-2	6	-7.5	-12.99
-5	-3	6	-10.5	-12.99
-4	-4	6	-12	-10.393
-3	-3	6	-10.5	-7.795
-3	-2	6	-7.5	-7.794
-4	-2	6	-6	-10.392
-6	-1	6	-3	-15.589
-7	0	6	-1.5	-18.186
-7	-1	6	-4.5	-18.186
-6	-2	6	-6	-15.589
-5	-1	6	-4.5	-12.991
-5	0	6	-1.5	-12.99
-6	0	6	-0	-15.589
-5	-5	7	-16.5	-12.99
-6	-5	7	-15	-15.589
-6	-6	7	-18	-15.588
-5	-6	7	-19.5	-12.99
-4	-6	7	-18	-10.392
-4	-5	7	-15	-10.392
-5	-4	7	-13.5	-12.99
-3	-7	7	-22.5	-7.794
-4	-7	7	-21	-10.393
-4	-8	7	-24	-10.392
-3	-8	7	-25.5	-7.794
-2	-8	7	-24	-5.196
-2	-7	7	-21	-5.196
-3	-6	7	-19.5	-7.794
0	-7	7	-21	0
-1	-6	7	-19.5	-2.598
-1	-7	7	-22.5	-2.598
0	-8	7	-24	0
1	-7	7	-22.5	2.598
1	-6	7	-19.5	2.598
0	-6	7	-18	0
-2	-5	7	-15	-5.196
-3	-4	7	-13.5	-7.794
-3	-5	7	-16.5	-7.794
-2	-6	7	-18	-5.197
-1	-5	7	-16.5	-2.598
-1	-4	7	-13.5	-2.598
-2	-4	7	-12	-5.196
1	-4	8	-13.5	2.597
0	-4	8	-12	0
0	-5	8	-15	-0
1	-5	8	-16.5	2.598
2	-5	8	-15	5.196
2	-4	8	-12	5.197
1	-3	8	-10.5	2.598
3	-6	8	-19.5	7.794
2	-6	8	-18	5.196
2	-7	8	-21	5.196
3	-7	8	-22.5	7.794
4	-7	8	-21	10.392
4	-6	8	-18	10.392
3	-5	8	-16.5	7.794
6	-6	8	-18	15.588
5	-5	8	-16.5	12.991
5	-6	8	-19.5	12.991
6	-7	8	-21	15.588
7	-6	8	-19.5	18.186
7	-5	8	-16.5	18.187
6	-5	8	-15	15.589
4	-4	8	-12	10.392
3	-3	8	-10.5	7.795
3	-4	8	-13.5	7.795
4	-5	8	-15	10.392
5	-4	8	-13.5	12.99
5	-3	8	-10.5	12.991
4	-3	8	-9	10.392
7	-3	9	-10.5	18.186
6	-3	9	-9	15.588
6	-4	9	-12	15.588
7	-4	9	-13.5	18.187
8	-4	9	-12	20.785
8	-3	9	-9	20.784
7	-2	9	-7.5	18.186
9	-5	9	-16.5	23.382
8	-5	9	-15	20.785
8	-6	9	-18	20.785
9	-6	9	-19.5	23.383
10	-6	9	-18	25.981
10	-5	9	-15	25.981
9	-4	9	-13.5	23.383
12	-5	9	-15	31.177
11	-4	9	-13.5	28.578
11	-5	9	-16.5	28.579
12	-6	9	-18	31.177
13	-5	9	-16.5	33.775
13	-4	9	-13.5	33.775
12	-4	9	-12	31.177
10	-3	9	-9	25.981
9	-2	9	-7.5	23.382
9	-3	9	-10.5	23.383
10	-4	9	-12	25.981
11	-3	9	-10.5	28.578
11	-2	9	-7.5	28.579
10	-2	9	-6	25.98
6	8	10	24	15.588
5	9	10	25.5	12.991
5	8	10	22.5	12.99
6	7	10	21	15.588
7	8	10	22.5	18.187
7	9	10	25.5	18.187
6	9	10	27	15.589
8	6	10	18	20.785
7	7	10	19.5	18.187
