-10	276	0
0	278	2
10	347	71
20	774	498
27	1003	727
28	1026	750
29	1048	772
30	1067	791
31	1079	803
32	1100	824
33	1106	830
34	1117	841
35	1126	850
36	1133	857
37	1138	862
38	1142	866
39	1143	867
40	1144	868
41	1140	864
42	1135	859
43	1130	854
44	1122	846
45	1114	838
46	1104	828
47	1093	817
48	1080	804
49	1066	790
50	1051	775
51	1038	762
60	872	596
70	677	401
80	498	222
90	354	78
100	241	-35
110	152	-124
120	85	-191
130	49	-227
140	26	-250
150	20	-256
160	18	-258
170	24	-252
180	28	-248
190	40	-236
200	56	-220
210	74	-202
220	89	-187
230	105	-171
240	119	-157
250	140	-136
260	151	-125
270	167	-109
280	176	-100
290	188	-88
300	198	-78
310	208	-68
320	214	-62
330	225	-51
340	226	-50
350	236	-40
360	241	-35
370	247	-29
380	250	-26
390	251	-25
400	254	-22
420	258	-18
440	262	-14
460	268	-8
480	268	-8
500	269	-7
540	272	-4
560	272	-4
600	275	-1
640	273	-3
